# Cone positions of the FSUK 2017 sprint race course. Source is unknown (Martin O'Conner)
0,0
4.4758415766,-2.7752938363
4.1697584234,3.2168938363
8.79837984,-2.5544867705
8.49202016,3.4376867705
13.1011863756,-2.3342421067
12.8348136244,3.6598421067
13.8654486362,3.6701457867
13.7401513638,-2.3285457867
16.7109597226,3.5821152332
16.3106402774,-2.4045152332
20.4259716872,3.2260040345
19.5740283128,-2.7132040345
24.0975653241,2.5118983125
23.9208346759,-3.4854983125
28.0554568404,-2.8061170267
26.1973431596,2.8989170267
32.458133896,-0.8730702238
30.017866104,4.6082702238
36.5765330864,0.9811263042
34.6018669136,6.6468736958
39.6123080434,7.7153843808
39.2388919566,1.7270156192
44.9646831263,6.0666904375
42.6353168737,0.5373095625
48.9490979863,3.9506923185
46.1197020137,-1.3402923185
52.6834979863,1.9534923185
49.8541020137,-3.3374923185
56.4178979863,-0.0433076815
53.5885020137,-5.3342923185
60.1522979863,-2.0405076815
57.3229020137,-7.3314923185
63.8866979863,-4.0373076815
61.0573020137,-9.3282923185
67.6210979863,-6.0345076815
64.7917020137,-11.3254923185
71.3554979863,-8.0313076815
68.5261020137,-13.3222923185
75.2133659096,-10.0983358847
72.1370340904,-15.2496641153
76.8458741579,-11.35558078
72.9501258421,-15.91881922
79.785123808,-13.9569035703
75.555676192,-18.2126964297
83.0831684093,-17.5991600142
78.2144315907,-21.1056399858
85.310311724,-21.7541359402
79.669688276,-23.7994640598
86.0107381488,-25.5139781333
80.0764618512,-26.3996218667
86.3565921961,-28.3743415543
80.4586078039,-29.4760584457
86.8638899198,-30.4781544171
81.3577100802,-32.8618455829
87.9928321948,-32.2653563475
83.3703678052,-36.0906436525
90.4157681466,-34.6102807545
86.2282318534,-38.9073192455
93.4966058801,-37.6135142282
89.0425941199,-41.6336857718
96.2590807836,-41.2113579264
90.9561192164,-44.0182420736
97.4044311735,-45.8761019506
91.4347688265,-45.2734980494
95.2252576953,-50.377940508
90.8355423047,-46.287659492
91.2789246036,-53.012185537
88.7850753964,-47.555014463
86.8887754512,-54.339706075
85.7904245488,-48.441093925
82.9782627683,-54.6152458924
82.7617372317,-48.6191541076
80.1062537253,-54.6142431296
79.6129462747,-48.6345568704
77.9481224601,-54.9768641026
76.3102775399,-49.2047358974
76.6283459378,-55.5121082412
73.3132540622,-50.5110917588
76.4842475096,-55.4336103725
70.8661524904,-53.3271896275
76.4906388677,-56.3913315041
70.5645611323,-57.3302684959
77.2492189038,-58.4047214615
71.7603810962,-60.8280785385
78.3273610333,-60.3487971217
73.1358389667,-63.3568028783
78.7543282598,-61.0011362777
73.9152717402,-64.5484637223
81.0756135905,-64.0691289483
76.2907864095,-67.6892710517
83.4244135905,-67.1731289483
78.6395864095,-70.7932710517
85.7729438624,-70.2777011447
80.9878561376,-73.8974988553
88.1213438624,-73.3821011447
83.3362561376,-77.0018988553
90.4696697003,-76.4864031123
85.6847302997,-80.1063968877
92.8184697003,-79.5908031123
88.0335302997,-83.2107968877
95.166887757,-82.6952269801
90.381912243,-86.3151730199
97.515287757,-85.7992269801
92.730312243,-89.4191730199
99.8636697003,-88.9036031123
95.0787302997,-92.5235968877
102.2124697003,-92.0080031123
97.4275302997,-95.6279968877
104.5609438624,-95.1125011447
99.7758561376,-98.7322988553
106.9093438624,-98.2169011447
102.1242561376,-101.8366988553
109.2576135905,-101.3211289483
104.4727864095,-104.9412710517
111.6064135905,-104.4251289483
106.8215864095,-108.0452710517
113.9549438624,-107.5297011447
109.1698561376,-111.1494988553
116.0632414402,-110.3542641683
111.7583585598,-114.5337358317
118.4907441533,-112.3960524184
115.7516558467,-117.7343475816
121.6305806281,-113.1057162848
120.0518193719,-118.8942837152
125.6820525208,-114.4503505687
122.3523474792,-119.4416494313
129.217475802,-118.3119725477
124.1057241981,-121.4536274523
131.0022414444,-122.8077186835
125.2185585556,-124.4042813165
131.3774398713,-125.9925751067
125.3817601287,-126.2202248933
131.3796,-130.696
125.3796,-130.696
131.3796,-135.2856
125.3796,-135.2856
131.3795999886,-139.8749385279
125.3796000114,-139.8754614721
131.3804,-144.4644
125.3804,-144.4644
131.3795999886,-149.0542614607
125.3796000114,-149.0537385393
131.3796,-153.6436
125.3796,-153.6436
131.3796,-158.2332
125.3796,-158.2332
131.3721161483,-162.611028656
125.3870838517,-163.034571344
131.8999546235,-166.2317141276
126.1000453765,-167.7682858724
132.9876767977,-169.065815703
127.9379232023,-172.306184297
134.1911174091,-169.9212734173
130.6800825909,-174.7867265827
137.1340413404,-171.8046530324
133.3987586596,-176.5001469676
140.5055425412,-175.140295729
135.4680574588,-178.399704271
142.5897367987,-180.4102032336
136.6686632013,-181.3801967664
141.8952622068,-184.816335168
136.3423377932,-182.543664832
139.9116168331,-187.9441078057
134.9691831669,-184.5422921943
138.3777593823,-190.0050236435
133.0430406177,-187.2589763565
138.0384802628,-191.1118432946
132.0543197372,-190.6761567054
138.3373089041,-192.728832989
132.4162910959,-193.699167011
138.7319145046,-194.8453371097
132.8504854954,-196.0322628903
139.2407322494,-197.1956054611
133.3512677506,-198.3419945389
140.3649290269,-203.2349478248
134.4662709731,-204.3330521752
141.4849323114,-209.2501654683
135.5862676886,-210.3482345317
142.6045499529,-215.2658602442
136.7058500471,-216.3637397558
143.7241290269,-221.2809478248
137.8254709731,-222.3790521752
144.8441290269,-227.2961478248
138.9454709731,-228.3942521752
145.9637466695,-233.3114426035
140.0650533305,-234.4093573965
147.0833290269,-239.3265478248
141.1846709731,-240.4246521752
148.2109080516,-245.3841494551
